Syllable,Tone,FullPinyin,Exists,Character(s),Meaning
bo,4,bo4,Yes,柏,used in 黃柏｜黄柏  / Taiwan pr. [bo2]; thumb  / to break  / to tear  / to pierce  / to split; used in 簸箕
bu,1,bu1,Yes,逋,to flee  / to abscond  / to owe; to eat  / evening meal; 3-5 p.m.
bu,2,bu2,Yes,醭,mold on liquids
bu,3,bu3,Yes,补,to repair  / to patch  / to mend  / to make up for  / to fill (a vacancy)  / to supplement; to catch; to seize; to capture; village (used in place names)
bu,4,bu4,Yes,不,"no; not so  / (bound form) not; un-; ministry  / department  / section  / part  / division  / troops  / board  / classifier for works of literature, films, machines etc; cloth  / to declare  / to announce  / to spread  / to make known"
ca,1,ca1,Yes,擦,"to rub; to scratch  / to wipe; to polish  / to apply (lipstick, lotion etc)  / to brush (past)  / to shred (a vegetable etc); (onom.) scraping sound  / ripping of fabric  / screeching of tires"
ca,2,ca2,No,,
ca,3,ca3,Yes,礤,shredder  / grater (kitchen implement for grating vegetables)  / grindstone
ca,4,ca4,No,,
cai,1,cai1,Yes,猜,to guess; (literary) learned; erudite  / (literary) gifted; highly talented  / Taiwan pr. [sai1]
cai,2,cai2,Yes,才,ability; talent  / sb of a certain type  / a capable individual  / then and only then  / just now  / (before an expression of quantity) only; (variant of 才) just now  / (variant of 才) (before an expression of quantity) only; to cut out (as a dress)  / to cut  / to trim  / to reduce  / to diminish  / to cut back (e.g. on staff)  / decision  / judgment
cai,3,cai3,Yes,踩,to step on  / to tread  / to stamp  / to press a pedal  / to pedal (a bike)  / (online) to downvote; variant of 踩; to pick  / to pluck  / to collect  / to select  / to choose  / to gather
cai,4,cai4,Yes,菜,"vegetable; greens (CL:棵)  / dish (of food) (CL:樣｜样,道,盤｜盘)  / (of one&#039;s skills etc) weak; poor  / (coll.) (one&#039;s) type; used in 采邑 and 采地; surname Cai"
can,1,can1,Yes,餐,meal  / to eat  / classifier for meals; second-round simplified character for 餐; outside horses of a team of 4
